start,end,Branch location,Date of reporting,Select the product name,Select product category,What was the opening stock for the week,what was the quantity of the product recieved this week?,How many units of this product were sold this week?,Was there any delay in supply this week?,"If yes, how many days was the delay?",What recommendation would you like to make to improve product availability or supply?,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2025-11-10 12:18:01.045000+01:00,2025-11-10 12:19:45.067000+01:00,Lagos,2025-11-10,Detergents,Cleaning products,50,150,20,Yes,2,continue with the tracking of products,602216127,4044077f-77c5-4893-a820-418bd7658a62,2025-11-10 11:19:46,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,1
2025-11-10 12:24:34.900000+01:00,2025-11-10 12:26:21.044000+01:00,Enugu,2025-11-08,Malt,Beverages,30,350,230,No,0,Work on suppliers delay,602222843,5545f1ed-9790-4a14-8e14-ed6a795b8222,2025-11-10 11:26:21,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,2
2025-11-10 12:26:21.060000+01:00,2025-11-10 12:32:12.352000+01:00,Lagos,2025-11-12,Detergents,Cleaning products,100,100,40,Yes,2,Supervise the suppliers,602228172,c123d056-1df2-4a0e-8436-f3b39f724389,2025-11-10 11:32:13,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,3
2025-11-10 12:32:12.374000+01:00,2025-11-10 12:33:26.693000+01:00,Onitsha,2025-11-10,Cornflakes,Beverages,40,349,200,No,0,Work on the customers services,602229134,1d444657-31ca-4c15-9f81-017be2d68354,2025-11-10 11:33:28,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,4
2025-11-10 12:33:26.702000+01:00,2025-11-10 12:41:01.618000+01:00,Kano,2025-11-04,Coco balls,Beverages,20,309,329,Yes,3,More products should be supplied,602235894,a6c5a051-e89e-45c6-a93e-43c04bdb2357,2025-11-10 11:41:03,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,5
2025-11-10 12:41:01.683000+01:00,2025-11-10 12:58:30.953000+01:00,Kano,2025-11-10,Detergents,Cleaning products,0,340,340,Yes,3,Increase in product availability,602252613,78734f46-8c41-4dea-8c17-37956870316b,2025-11-10 11:58:31,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,6
2025-11-10 12:58:30.971000+01:00,2025-11-10 13:00:13.799000+01:00,Onitsha,2025-11-10,Coco balls,Beverages,50,360,410,Yes,3,Increase product availability,602253959,bb89f820-c3ff-4836-8e26-0f3ce6b1afc2,2025-11-10 12:00:14,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,7
2025-11-10 13:00:13.813000+01:00,2025-11-10 13:13:39.441000+01:00,Lagos,2025-11-05,Bar soaps,Cleaning products,9,199,208,Yes,2,Increase product availability,602266601,1ad571e3-6332-461d-9a81-1e9509b2058d,2025-11-10 12:13:41,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,8
2025-11-10 13:13:39.533000+01:00,2025-11-10 13:15:34.738000+01:00,Kano,2025-11-05,Milo,Beverages,50,150,140,No,0,"Product packaging is poor, work on it",602268080,399222c1-e55b-4187-b54f-63fc827bd363,2025-11-10 12:15:35,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,9
2025-11-10 13:15:34.751000+01:00,2025-11-10 15:26:33.881000+01:00,Kano,2025-11-07,Detergents,Beverages,80,200,210,Yes,1,Increase product availability,602392484,e7781899-2bca-4a97-8114-af0387af2be5,2025-11-10 14:26:34,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,10
